r,w
100,100
98,100
96.04,99.9
94.124.002,99.702.198
9.225.553.712,9.940.927.304
9.043.767.529,9.902.433.733
8.867.304.012,985.508.859
8.696.382.799,9.799.274.493
8.531.183.072,9.735.401.979
8.371.846.082,9.663.904.363
8.218.477.865,9.585.232.744
8.071.152.085,9.499.851.223
7.929.912.928,9.408.232.382
7.794.777.998,931.085.308
7.665.741.174,920.819.059
754.277.538,9.100.719.089
7.425.835.242,8.988.906.534
7.314.859.605,8.873.211.902
7.209.773.897,8.754.082.804
7.110.492.325,8.631.953.452
7.016.919.901,8.507.242.973
6.928.954.285,8.380.354.037
6.846.487.464,8.251.671.785
6.769.407.251,8.121.563.033
669.759.863,799.037.572
6.630.944.941,7.858.438.581
6.569.328.922,772.606.102
6.512.633.609,759.353.315
6.460.743.121,7.461.125.988
6.413.543.323,7.329.091.781
6.370.922.384,719.766.443
6.332.771.248,7.067.060.016
6.298.984.013,6.937.477.387
6.269.458.238,6.809.098.814
6.244.095.182,6.682.090.676
6.222.799.986,6.556.604.193
6.205.481.804,6.432.776.166
619.205.388,6.310.729.735
6.182.433.604,6.190.575.141
6.176.542.513,6.072.410.483
6.174.306.281,5.956.322.466
6.175.654.674,5.842.387.139
6.180.521.487,5.730.670.609
6.188.844.467,5.621.229.743
6.200.565.218,5.514.112.839
6.215.629.093,5.409.360.278
623.398.508,530.700.515
6.255.585.678,5.207.073.847
6.280.386.766,5.109.586.638
6.308.347.467,5.014.558.207
6.339.430.013,4.921.998.175
6.373.599.599,4.831.911.581
6.410.824.238,474.429.935
6.451.074.619,4.659.158.729
6.494.323.955,4.576.483.696
6.540.547.835,4.496.265.349
6.589.724.077,4.418.492.275
6.641.832.575,4.343.150.886
6.696.855.147,4.270.225.747
6.754.775.385,4.199.699.876
68.155.785,4.131.555.029
6.879.251.166,4.065.771.965
6.945.781.369,40.023.307
701.515.824,3.941.210.735
7.087.371.902,3.882.391.283
7.162.413.305,3.825.851.473
7.240.274.056,3.771.570.547
7.320.946.256,3.719.528.042
7.404.422.319,3.669.703.964
7.490.694.799,3.622.078.955
7.579.756.203,3.576.634.448
7.671.598.804,3.533.352.811
7.766.214.442,3.492.217.496
7.863.594.325,3.453.213.171
7.963.728.818,341.632.585
8.066.607.219,3.381.543.021
8.172.217.539,3.348.853.767
8.280.546.258,3.318.248.886
8.391.578.078,3.289.721.008
8.505.295.667,3.263.264.711
8.621.679.381,3.238.876.632
8.740.706.983,321.655.558
8.862.353.344,319.630.265
